Membership No  Date Joined  Active  
    37936      2020-4-24    yes   
    57435      2017-12-8    yes   
    70966      2015-10-14   yes   
    71397      2019-10-10   yes   
    79100      2015-4-22    yes   
    96520      2017-8-18    yes   
    45543      2016-9-4     yes   
    63915      2020-6-23    yes   
    44635      2017-4-8     yes   
    51089      2017-10-13   yes   
    44433      2017-5-5     yes   
    28937      2019-6-12    yes   
    40389      2018-2-14    yes   
    59469      2018-11-9    yes   
